max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5" "6"
"4" 5 149 1721 92 4
"5" 1 14 282 477 10
"6" 0 3 65 39 49
"7" 0 0 0 2 1
----- l = 0.94
"2" "3" "4" "5" "6"
"1" 2 3 8 1 2
"2" 58 43 40 3 0
"3" 17 915 366 13 2
"4" 11 238 1660 58 4
"5" 0 21 317 435 11
"6" 0 0 72 37 47
"7" 0 0 0 3 0
----- l = 0.95
"2" "3" "4" "5" "6"
"1" 1 5 9 0 1
"2" 54 54 34 1 1
"3" 10 968 305 24 6
"4" 7 228 1633 97 6
"5" 0 21 292 462 9
"6" 0 1 69 51 35
"7" 0 0 1 1 1
----- l = 0.96
"2" "3" "4" "5" "6"
"1" 1 6 9 0 0
"2" 58 53 31 2 0
"3" 20 923 345 21 4
"4" 19 202 1642 107 1
"5" 0 14 284 483 3
"6" 1 3 63 56 33
"7" 0 0 1 1 1
----- l = 0.97
"2" "3" "4" "5" "6"
"1" 2 11 2 0 1
"2" 42 64 36 2 0
"3" 11 912 374 15 1
"4" 12 185 1694 73 7
"5" 3 40 309 426 6
"6" 0 8 69 26 53
"7" 0 0 1 2 0
----- l = 0.98
"2" "3" "4" "5" "6"
"1" 3 6 5 0 2
"2" 56 57 27 4 0
"3" 6 862 406 34 5
"4" 8 183 1605 169 6
"5" 1 25 235 514 9
"6" 0 7 41 54 54
"7" 0 0 0 2 1
----- l = 0.99
"2" "3" "4" "5" "6"
"1" 1 4 10 0 1
"2" 43 60 38 3 0
"3" 5 952 339 16 1
"4" 3 240 1660 67 1
"5" 2 40 384 353 5
"6" 0 5 90 30 31
"7" 0 0 2 1 0
----- l = 1
"2" "3" "4" "5" "6"
"1" 2 8 6 0 0
"2" 61 50 33 0 0
"3" 12 917 369 14 1
"4" 9 230 1681 50 1
"5" 1 39 381 358 5
"6" 3 6 86 29 32
"7" 0 0 1 1 1
